request_id,k6_endpoint,k6_status,k6_duration_ms,k6_waiting_ms,k6_receiving_ms,nginx_status,nginx_total_ms,nginx_upstream_ms,nginx_connect_ms,nginx_header_ms,gateway_status,gateway_total_ms,gateway_auth_ms,gateway_upstream_ms,gateway_other_ms,k6_minus_nginx_ms,nginx_minus_gateway_ms,k6_minus_gateway_ms
151797d8-aed8-4cbe-9d00-c6535079f04e,,,,,,200,115.0,116.0,4.0,116.0,,,,,,,,
1e495f10-e1c1-4bfb-9864-47482e24a3cf,,,,,,200,107.0,108.0,0.0,108.0,,,,,,,,
1db23849-f891-4992-aa52-fef12da1ece6,,,,,,200,78.0,80.0,0.0,80.0,,,,,,,,
27f048fa-7e0c-4ea5-bd03-750cad4309f4,,,,,,200,71.0,68.0,0.0,68.0,,,,,,,,
f64a1947-0dd8-41de-8d41-6686f56fb395,,,,,,200,76.0,76.0,0.0,76.0,,,,,,,,
10c2f2b2-b4fa-40ba-9ae9-008f7769f948,,,,,,200,102.0,104.0,0.0,104.0,,,,,,,,
4965bbcb-817a-455d-bc10-8b077cae604a,,,,,,200,92.0,92.0,0.0,92.0,,,,,,,,
e3ce9b4c-4207-4316-b58f-19c5c69034d8,,,,,,200,74.0,72.0,0.0,72.0,,,,,,,,
ee0532c5-6444-4fd0-8d33-1a59d603b3ad,,,,,,200,145.0,144.0,0.0,144.0,,,,,,,,
10471b13-ed1f-4527-bd15-7553d245c560,,,,,,200,160.0,160.0,0.0,160.0,,,,,,,,
79f76498-9696-4bd6-9b54-fa65f6e5c7c5,,,,,,200,141.0,144.0,4.0,144.0,,,,,,,,
d107fc02-8f65-4802-9364-caf40f96b0cc,,,,,,200,87.0,88.0,0.0,88.0,,,,,,,,
087c8b39-76d7-4b82-ba0c-abb9ca5969dd,,,,,,200,72.0,72.0,0.0,72.0,,,,,,,,
25288f23-438d-4a52-b686-486f7a2fafce,,,,,,200,85.0,84.0,0.0,84.0,,,,,,,,
1152b675-7829-423a-bf2d-59f0ae6ba91c,,,,,,200,69.0,68.0,0.0,68.0,,,,,,,,
2d0810d8-ce8d-4ee8-ad4b-17b9b8a09e3a,,,,,,200,121.0,120.0,4.0,120.0,,,,,,,,
